Date,Open,High,Low,Close,Adj Close,Volume
2015-08-24,31.879999,36.919998,31.590000,36.689999,32.478775,24493100
2015-08-31,35.950001,37.000000,33.500000,33.750000,29.876228,16768400
2015-09-07,34.939999,35.439999,33.619999,34.070000,30.159498,12775600
2015-09-14,33.880001,36.139999,33.310001,34.599998,31.749662,15197000
2015-09-21,34.299999,34.540001,31.610001,31.870001,29.244562,13404000
2015-09-28,30.920000,33.070000,30.150000,33.060001,30.336533,21592000
2015-10-05,33.080002,38.099998,33.000000,37.759998,34.649349,22430700
2015-10-12,37.730000,37.790001,35.849998,36.060001,33.089397,14054600
2015-10-19,35.380001,36.160000,34.419998,35.750000,32.804932,10747300
2015-10-26,35.990002,35.990002,32.680000,32.889999,30.180534,12363700
2015-11-02,32.560001,34.340000,30.280001,30.750000,28.216827,18605200
2015-11-09,30.290001,30.520000,27.840000,28.410000,26.069597,20857700
2015-11-16,28.450001,29.559999,27.969999,29.100000,26.702753,21571000
2015-11-23,28.700001,28.820000,26.400000,26.980000,24.757397,16818800
2015-11-30,25.990000,27.360001,25.910000,26.480000,24.298590,22815400
2015-12-07,25.860001,25.920000,23.730000,23.809999,21.848541,27567100
2015-12-14,23.580000,24.639999,23.209999,23.930000,21.958658,26336500
2015-12-21,24.540001,26.219999,24.030001,26.139999,23.986597,15826400
2015-12-28,25.940001,26.370001,25.600000,25.760000,23.637901,16701900
2016-01-04,25.070000,25.500000,21.930000,21.959999,20.150944,25216600
2016-01-11,22.139999,22.270000,19.770000,20.190001,18.526756,29066900
2016-01-18,20.520000,22.100000,18.459999,21.480000,19.710487,27108700
2016-01-25,21.240000,22.510000,20.730000,21.910000,20.105062,20822100
2016-02-01,21.809999,23.780001,20.120001,22.580000,20.719870,21822800
2016-02-08,22.580000,22.990000,20.820000,22.719999,20.848335,21637200
2016-02-15,22.740000,24.410000,22.330000,23.980000,22.004536,15450400
2016-02-22,24.940001,25.540001,21.879999,22.559999,20.701515,31426600
2016-02-29,22.969999,28.490000,22.559999,27.680000,25.399733,28570600
