"","날짜","철광석_가격","미국_수입량","알루미늄","전기동","연","아연","주석","니켈","BHP_close","RIO_close","VALE_close","PDS.원자재.지수","USD.CNY..미국.달러...중국.인민폐.","USD.BRL..미국.달러...브라질.레알.","AUD.USD..호주.달러...미국.달러.","inventory.index"
"87","2016-08-29","59.13","478033","333.2","912.4","369.4","495.8","3914.6","2111.6","30.62","31.13","5.6","89.52","6.68","3.24","0.75","104.24"
"88","2016-09-05","58.56","724754.6","417","1195.875","446.875","569.5","4458.5","2609.25","30.74","30.74","5.19","88.69","6.67","3.23","0.76","103.46"
"89","2016-09-12","56","661243.9","404","1183.125","472.625","572","4748","2567.75","29.97","29.9","5.03","89.85","6.68","3.3","0.75","104.01"
"90","2016-09-19","56.09","597733.1","391","1170.375","498.375","574.5","5037.5","2526.25","32.54","32.41","5.42","89.36","6.67","3.24","0.76","102.72"
"91","2016-09-26","56.48","534222.4","378","1157.625","524.125","577","5327","2484.75","34.65","33.4","5.5","90.39","6.67","3.24","0.77","106.48"
"92","2016-10-03","55.86","514908.2","303.2","936.4","368.8","454.4","3792","2022","35.36","33.16","5.57","92.11","6.67","3.23","0.76","104.61"
"93","2016-10-10","57.09","503590.8","318","941.4","388.4","458.6","3914.2","2037.6","33.99","31.77","5.58","94.47","6.72","3.2","0.76","105.68"
"94","2016-10-17","58.55","492273.4","332.8","946.4","408","462.8","4036.4","2053.2","34.96","32.87","6.26","94.38","6.74","3.17","0.77","106.86"
"95","2016-10-24","62.26","480956","347.6","951.4","427.6","467","4158.6","2068.8","34.87","34.53","6.9","93.84","6.78","3.15","0.76","108.29"
"96","2016-10-31","65.1","469638.6","362.4","956.4","447.2","471.2","4280.8","2084.4","33.98","33.93","6.67","93.12","6.76","3.24","0.77","111.19"
"97","2016-11-07","72.13","604844.1","407.125","1094.125","492.625","546.625","4915.125","2456.875","37.5","39.08","7.69","91.97","6.79","3.28","0.77","109.09"
"98","2016-11-14","73.84","625839.4","424.875","1271.875","527.375","610.375","5175.875","2676.125","35.48","36.55","7.24","93.3","6.85","3.43","0.75","111.35"
"99","2016-11-21","75.53","646834.6","442.625","1449.625","562.125","674.125","5436.625","2895.375","38.74","39.35","8.42","94.49","6.91","3.4","0.74","110.73"
"100","2016-11-28","77.27","667829.9","460.375","1627.375","596.875","737.875","5697.375","3114.625","38.02","39.02","8.44","96.25","6.89","3.46","0.74","112.12"
"101","2016-12-05","80.81","648528.8","434.25","1332.875","538.25","629.375","5297.375","2802","38.48","41.15","8.78","100.36","6.89","3.39","0.75","112.43"
